Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000030001,2025-11-12 00:00:00,Theresa Rodriguez,"['Mop', 'Orange', 'BBQ Sauce', 'Onions', 'Toothpaste']",5,128.92,Debit Card,Seattle,Convenience Store,False,Young Adult,Fall,
1000030002,2024-05-30 00:00:00,Karen Reese,"['Soap', 'Peanut Butter', 'Banana', 'Salt', 'Coffee', 'BBQ Sauce', 'Rice']",7,83.53,Credit Card,Atlanta,Supermarket,True,Middle-Aged,Spring,BOGO (Buy One Get One)
1000030003,2023-10-03 00:00:00,Richard Sanchez,"['Canned Soup', 'Toothpaste', 'Toothpaste']",3,130.47,Mobile Payment,San Francisco,Department Store,True,Young Adult,Fall,
1000030004,2023-05-03 00:00:00,Ashley Mason,"['Jam', 'Soap', 'Hair Gel', 'Water', 'Hand Sanitizer', 'Pasta']",6,24.19,PayPal,Houston,Supermarket,False,Senior Citizen,Spring,Discount on Selected Items
1000030005,2024-10-31 00:00:00,David Mccarthy,"['Potatoes', 'Salt', 'Jam', 'Chicken', 'Soda', 'Trash Cans']",6,49.82,Credit Card,Los Angeles,Supermarket,False,Young Adult,Fall,BOGO (Buy One Get One)
1000030006,2024-12-03 00:00:00,Dana Butler,"['Chicken', 'Syrup', 'Cheese']",3,49.99,Credit Card,New York,Specialty Store,False,Young Adult,Winter,
1000030007,2025-04-15 00:00:00,Brandon Chen,"['Cereal Bars', 'Mop', 'BBQ Sauce', 'Soda', 'Bread', 'Ice Cream']",6,75.56,Credit Card,Houston,Supermarket,True,Young Adult,Spring,
1000030008,2025-12-01 00:00:00,Jesse Atkinson,"['Syrup', 'Pickles', 'Bread', 'Shaving Cream', 'Shaving Cream', 'Orange', 'Soda', 'Syrup', 'Banana']",9,85.34,Mobile Payment,Seattle,Warehouse Club,False,Student,Winter,BOGO (Buy One Get One)
1000030009,2025-08-24 00:00:00,Oscar Hayes,"['Butter', 'Bread', 'Shaving Cream']",3,16.68,Credit Card,San Francisco,Supermarket,True,Student,Summer,BOGO (Buy One Get One)
1000030010,2025-03-13 00:00:00,Paul Walker,"['Canned Soup', 'Milk', 'Trash Cans', 'Oil']",4,21.42,Credit Card,Dallas,Convenience Store,False,Homemaker,Spring,BOGO (Buy One Get One)
